tweet_id,tweet_text,tweet_created_at,tweet_hashtags,location,user_id,user_name,user_screen_name,verified,verification_type,user_followers_count,professional_type
1927323126020321303,@sarahrubyjane_ Ye keee…. Takut nanti banjir je malaysia nantii…. Hahahahaha,Tue May 27 11:16:55 +0000 2025,null,Air fryer,1468572747957563395,mochie saw KAI!🐻,statueoflino,False,null,191,null
1927023343393239054,"Pengetua digantung tugas, menari ketika sekolah banjir | 15 Minit MMTV 26 Mei 2025 

#15minitmmtv #utusanonline #kosmoonline #mmtv #berita #relevan #mutakhir https://t.co/VbGFm1CHP5",Mon May 26 15:25:42 +0000 2025,"15minitmmtv,utusanonline,kosmoonline,mmtv,berita,relevan,mutakhir",Malaysia,42199532,Utusan Malaysia,UMonline,False,null,874399,Business
1932275533120962802,"melakukan rondaan komuniti ketika menghadapi situasi sukar seperti kebakaran hutan, program Khidmat Bakti RELA (KBR) seperti program gotong royong membersihkan kawasan terjejas akibat banjir,",Tue Jun 10 03:16:01 +0000 2025,null,Malaysia,412919725,RELA Malaysia,relamalaysia,False,null,440747,null
1932116618974470474,SALAM SEJAHTERA DIROBOHKAN  KENA BUAT BALIK TANAH  SALIRAN SALURAN  TAKAN MAHU CELEBRATE  BANJIR  HARTA BENDE DITEGELAMI DIKATA BENCANA ALAM MALA PETAKA  BUAT  BAGI BETUL BERTAMADUNKAN MELAYU ISLAM MALAYSIA,Mon Jun 09 16:44:33 +0000 2025,null,"George Town, Penang",1526256690840375296,MOHAMMAD ILHAM,MOHAMMADILHAMI5,False,null,55,Business
1931381271261020475,Dia gatau ajaa atlet2nya kalo ke indo banjir gift. Banyak yg sayang tau sama atlet malaysia. W aja sesayang itu ama tang jie walo dah jarang ntn badminton,Sat Jun 07 16:02:33 +0000 2025,null,,1850706958036430848,ikakusu || akun lama kesuspend,magentajingga_,False,null,636,null
1931233608888664077,"🔸Turut dibincang potensi pewujudan Akta Pengurangan Risiko Bencana Nasional, pembangunan sistem amaran awal lebih pintar, pemetaan risiko banjir lebih tepat serta pelaburan strategik dalam pendidikan dan kesedaran komuniti.

#MalaysiaMADANI
#TaatSetia
#JabatanPenerangan",Sat Jun 07 06:15:47 +0000 2025,"MalaysiaMADANI,TaatSetia,JabatanPenerangan",Wilayah Persekutuan Putrajaya,114914506,Jabatan Penerangan Malaysia ❤️🇲🇾,JPenerangan,False,null,249141,Creator
1930579733168758787,"Malaysia–Thailand sepakat wujud mekanisme awal elak banjir Sungai Golok

Malaysia dan Thailand bersetuju mewujudkan mekanisme pemakluman awal pelepasan air empangan bagi mengelak banjir besar di kawasan sempadan, khususnya Sungai Golok.
#sinarharian #SungaiGolok…",Thu Jun 05 10:57:31 +0000 2025,"sinarharian,SungaiGolok",Malaysia,331383958,SinarHarian,SinarOnline,False,null,1144872,Business
1930562924692766765,"Malaysia, Thailand bincang pembinaan jambatan kedua Rantau Panjang-Sungai Golok dan pendalaman muara sungai bagi atasi masalah banjir. 
#AWANInews #AWANI745 
https://t.co/cyunz4QnRz",Thu Jun 05 09:50:44 +0000 2025,"AWANInews,AWANI745",Malaysia,497665754,Astro AWANI,501Awani,False,null,3945136,Business
1930528882387812368,@TMPNews_ Malaysia boleh ikut jejak Jepun guna sistem kawal banjir supaya pengeluaran padi naik. Boleh capai sasaran!,Thu Jun 05 07:35:27 +0000 2025,null,,79952022,Rosliza Hasan,RoslizaHasan,False,null,703,null
1930507870631866554,SALAM SEJAHTERA MELAYU ISLAM RAKYAT MALAYSIA KERAJAAN PERPADUAN MADANI MALAYSIA URUSKAN APA INDUSTRY BANJIR INFRASTRUCTURE PEMBAGUNAN KE,Thu Jun 05 06:11:58 +0000 2025,null,"George Town, Penang",1526256690840375296,MOHAMMAD ILHAM,MOHAMMADILHAMI5,False,null,55,Business
